geocode,value
E14000883,3.06
E14000884,17.09
E14000885,11.95
E14000886,2.14
E14000887,17.25
E14000888,6.43
E14000889,8.63
E14000890,2.95
E14000891,-4.43
E14000892,6.61
E14000893,11.21
E14000894,6.2
E14000895,7.64
E14000896,9.97
E14000897,5.97
E14000898,9.69
E14000899,10.94
E14000900,8.8
E14000901,4.13
E14000902,4.75
E14000903,4.03
E14000904,2.07
E14000905,13.81
E14000906,4.91
E14000907,4.94
E14000908,4.71
E14000909,6.96
E14000910,13.49
E14000911,13.0
E14000912,4.73
E14000913,2.22
E14000914,9.39
E14000915,3.37
E14000916,-4.64
E14000917,8.83
E14000918,4.47
E14000919,26.35
E14000920,1.83
E14000921,4.39
E14000922,6.61
E14000923,3.54
E14000924,5.76
E14000925,8.65
E14000926,6.81
E14000927,11.37
E14000928,4.24
E14000929,13.91
E14000930,17.94
E14000931,4.68
E14000932,5.07
E14000933,0.49
E14000934,15.46
E14000935,16.0
E14000936,2.35
E14000937,13.39
E14000938,5.25
E14000939,12.97
E14000940,6.01
E14000941,12.25
E14000942,13.03
E14000943,4.54
E14000944,-3.8
E14000945,2.09
E14000946,5.12
E14000947,9.9
E14000948,7.35
E14000949,7.89
E14000950,2.82
E14000951,4.29
E14000952,10.56
E14000953,5.57
E14000954,9.64
E14000955,10.83
E14000956,8.11
E14000957,5.28
E14000958,0.05
E14000959,5.76
E14000960,11.24
E14000961,8.87
E14000962,-1.89
E14000963,-0.2
E14000964,3.66
E14000965,7.83
E14000966,3.15
E14000967,5.03
E14000968,5.09
E14000969,0.72
E14000970,4.01
E14000971,10.73
E14000972,2.6
E14000973,5.38
E14000974,0.9
E14000975,5.24
E14000976,2.18
E14000977,10.5
E14000978,12.56
E14000979,6.5
E14000980,4.43
E14000981,3.3
E14000982,0.15
E14000983,5.41
E14000984,7.33
E14000985,6.32
E14000986,3.63
E14000987,4.36
E14000988,7.71
E14000989,2.5
E14000990,6.2
E14000991,3.4
E14000992,6.38
E14000993,3.6
E14000994,0.6
E14000995,15.38
E14000996,8.88
E14000997,13.11
E14000998,14.89
E14000999,2.3
E14001000,7.33
E14001001,0.31
E14001002,18.05
E14001003,5.99
E14001004,11.39
E14001005,8.26
E14001006,4.94
E14001007,12.92
E14001008,14.75
E14001009,4.82
E14001010,2.36
E14001011,4.08
E14001012,10.54
E14001013,22.94
E14001014,1.61
E14001015,5.12
E14001016,9.71
E14001017,1.14
E14001018,10.39
E14001019,12.84
E14001020,-2.97
E14001021,11.78
E14001022,3.26
E14001023,5.98
E14001024,3.98
E14001025,8.31
E14001026,7.09
E14001027,14.07
E14001028,4.3
E14001029,7.94
E14001030,10.88
E14001031,7.64
E14001032,26.8
E14001033,1.59
E14001034,10.09
E14001035,2.7
E14001036,25.75
E14001037,1.61
E14001038,7.65
E14001039,5.46
E14001040,3.84
E14001041,7.58
E14001042,7.61
E14001043,1.57
E14001044,-0.54
E14001045,7.72
E14001046,9.56
E14001047,9.1
E14001048,5.58
E14001049,4.96
E14001050,6.42
E14001051,4.53
E14001052,5.8
E14001053,2.5
E14001054,1.5
E14001055,5.79
E14001056,8.03
E14001057,2.59
E14001058,1.02
E14001059,10.55
E14001060,7.48
E14001061,15.18
E14001062,3.54
W07000041,4.37
W07000042,0.98
W07000043,4.48
W07000044,4.44
W07000045,7.22
W07000046,4.64
W07000047,9.96
W07000048,6.57
W07000049,4.72
W07000050,19.45
W07000051,7.66
W07000052,-3.96
W07000053,0.1
W07000054,8.17
W07000055,3.97
W07000056,7.44
W07000057,6.93
W07000058,3.23
W07000059,6.01
W07000060,0.31
W07000061,2.18
W07000062,5.12
W07000063,7.24
W07000064,1.74
W07000065,8.06
W07000066,5.96
W07000067,5.91
W07000068,3.46
W07000069,3.31
W07000070,-0.49
W07000071,4.14
W07000072,-0.36
W07000073,12.55
W07000074,5.06
W07000075,4.82
W07000076,5.49
W07000077,6.48
W07000078,5.39
W07000079,8.58
W07000080,16.2
