geocode,value
E14000884,80.06
E14000885,35.76
E14000886,16.34
E14000887,73.26
E14000888,8.68
E14000889,39.46
E14000890,19.96
E14000891,11.99
E14000892,6.03
E14000893,9.02
E14000894,1.54
E14000895,0.52
E14000896,31.46
E14000897,12.6
E14000898,7.1
E14000899,10.73
E14000900,32.61
E14000901,2.1
E14000902,4.44
E14000903,5.68
E14000904,18.58
E14000905,3.92
E14000906,18.93
E14000907,10.9
E14000908,3.07
E14000909,0.91
E14000910,1.28
E14000911,33.87
E14000912,1.49
E14000913,1.31
E14000914,4.88
E14000915,2.29
E14000916,10.19
E14000917,1.14
E14000918,3.74
E14000919,53.98
E14000920,21.2
E14000921,40.87
E14000922,5.46
E14000923,36.47
E14000924,3.07
E14000925,9.83
E14000926,1.7
E14000927,4.54
E14000928,0.47
E14000929,0.99
E14000930,49.82
E14000931,30.07
E14000932,1.09
E14000933,7.37
E14000934,1.75
E14000935,2.8
E14000936,2.48
E14000937,1.53
E14000938,1.23
E14000939,1.32
E14000940,3.54
E14000941,1.24
E14000942,1.77
E14000943,4.95
E14000944,33.42
E14000945,3.42
E14000946,1.41
E14000947,8.23
E14000948,7.57
E14000949,8.06
E14000950,2.4
E14000951,6.06
E14000952,0.79
E14000953,4.02
E14000954,1.32
E14000955,50.5
E14000956,48.1
E14000957,45.18
E14000958,20.44
E14000959,21.3
E14000960,14.53
E14000961,2.5
E14000962,11.51
E14000963,15.69
E14000964,1.6
E14000965,3.27
E14000966,1.51
E14000967,14.7
E14000968,14.85
E14000969,38.89
E14000970,7.63
E14000971,11.95
E14000972,27.45
E14000973,22.92
E14000974,27.26
E14000975,1.36
E14000976,33.56
E14000977,1.32
E14000978,110.04
E14000979,21.42
E14000980,2.59
E14000981,1.31
E14000982,35.24
E14000983,9.77
E14000984,51.66
E14000985,16.47
E14000986,5.31
E14000987,2.55
E14000988,2.38
E14000989,17.88
E14000990,2.66
E14000991,0.77
E14000992,2.63
E14000993,0.45
E14000994,2.22
E14000995,17.11
E14000996,1.08
E14000997,3.3
E14000998,95.18
E14000999,27.17
E14001000,0.57
E14001001,1.45
E14001002,98.39
E14001003,2.0
E14001004,4.24
E14001005,38.41
E14001006,25.85
E14001007,33.7
E14001008,133.06
E14001009,12.19
E14001010,37.77
E14001011,35.22
E14001012,29.6
E14001013,68.83
E14001014,5.99
E14001015,1.82
E14001016,46.59
E14001017,10.42
E14001018,11.99
E14001019,10.77
E14001020,20.82
E14001021,30.84
E14001022,4.15
E14001023,1.78
E14001024,5.3
E14001025,6.42
E14001026,1.86
E14001027,9.23
E14001028,10.93
E14001029,31.27
E14001030,33.5
E14001031,0.92
E14001032,91.16
E14001033,3.61
E14001034,1.39
E14001035,1.3
E14001036,146.38
E14001037,0.63
E14001038,7.16
E14001039,16.39
E14001040,45.54
E14001041,2.99
E14001042,6.99
E14001043,11.88
E14001044,14.62
E14001045,2.39
E14001046,1.47
E14001047,10.7
E14001048,6.48
E14001049,36.37
E14001050,35.6
E14001051,36.12
E14001052,29.68
E14001053,1.16
E14001054,16.58
E14001055,31.19
E14001056,7.72
E14001057,3.32
E14001058,5.01
E14001059,28.84
E14001060,2.66
E14001061,44.5
